,Nuclide,G,X,AQ,B+,B-,IE,AE,A,AR,FF,N
128,Bi-206,3.1888092817874503,0.09076674207704163,4.31870117e-06,1.5421711357800003e-06,0.0,0.12278821667884646,0.01511430769146631,0.0,0.0,0.0,0.0
129,Bi-207,1.4751098192840002,0.06153068629509656,0.000398305082,0.00015375277681,0.0,0.10822995114537792,0.010912554991574,0.0,0.0,0.0,0.0
130,Bi-208,2.61,0.036002211220950375,0.0,0.0,0.0,0.0052801173033322005,0.0090928400015798,0.0,0.0,0.0,0.0
131,Bi-210,2.92239485e-07,1.7255158884453925e-08,0.0,0.0,0.388902,6.828478088020002e-08,2.919152939356546e-09,6.14971368e-06,1.194895944e-07,0.0,0.0
132,Bi-210m,0.24997994280592004,0.01072007184342593,0.0,0.0,0.0,0.04560956171146544,0.0018952436620130254,4.910999060898594,0.0954211380452937,0.0,0.0
133,Bi-211,0.04520213454,0.00206403786741432,0.0,0.0,0.00047791056,0.009225499448284,0.0003292085254749452,6.5490185808,0.12663360628000003,0.0,0.0
134,Bi-212n,0.0,0.0,0.0,0.0,0.535145,0.0,0.0,0.0,0.0,0.0,0.0
135,Bi-212,0.10253764769662,0.0012253334089926584,0.0,0.0,0.49290953138452,0.009315490523386441,0.002338739816893585,2.1745139734470236,0.04184476147886548,0.0,0.0
136,Bi-213,0.12413488886918,0.003603142363488059,0.0,0.0,0.424816089151124,0.018692844960616257,0.0005388631648178429,0.12218304524799999,0.0023399579390000003,0.0,0.0
137,Bi-214,1.477580885990001,0.0017495266104988322,0.0,0.0,0.6412019129099688,0.021668376396711403,0.00026851847174108004,0.00114742153246606,2.18697520698052e-05,0.0,0.0
138,Bi-215,0.23810850000000003,0.015329123605275496,0.0,0.0,0.6180821285764699,0.048974624434727526,0.00229570084018076,0.0,0.0,0.0,0.0
139,Bi-216,0.7342523999999999,0.004224960555547873,0.0,0.0,1.2991235232,0.029655473020214002,0.000722461626548116,0.0,0.0,0.0,0.0
140,Bk-245,0.08721587903968,0.1479731572543455,0.0,0.0,0.0,0.11187363932033079,0.020682416145825996,0.00734063600140678,0.00012191532673196672,0.0,0.0
141,Bk-246,0.76758179239992,0.087045964337674,0.0,0.0,0.0,0.03410347370778869,0.021333376637413998,0.0,0.0,0.0,0.0
142,Bk-247,0.1131,0.033656210327390794,0.0,0.0,0.0,0.064042391745493,0.005069990976224399,5.610731236828,0.09241777217731599,0.0,0.0
143,Bk-248m,0.02737949806379,0.02854990782553477,0.0,0.0,0.176629835,0.008066425047449947,0.006332207714484075,0.0,0.0,0.0,0.0
144,Bk-249,5.36964442e-07,1.3431674332042371e-07,0.0,0.0,0.0323976,3.275750132872673e-07,1.7188275020950496e-08,7.839950077801699e-05,1.2808235905182909e-06,0.0,0.0
145,Bk-250,0.8923462591678732,0.0059061972624562765,0.0,0.0,0.26263613209719544,0.02744062358337342,0.00484282374316561,0.0,0.0,0.0,0.0
146,Bk-251,0.01707246427588,0.0744286299759375,0.0,0.0,0.2889051,0.0660358895667238,0.0143948993819817,0.0,0.0,0.0,0.0
147,Br-72,1.9461207684000001,0.0006107468024542737,1.01569937,2.751847919119,0.0,0.03561337456232133,0.000541963753006704,0.0,0.0,0.0,0.0
148,Br-73,0.45285521000000006,0.0010469690321190902,0.9792293,1.33450006120743,0.0,0.007955306668584078,0.0009240812682826002,0.0,0.0,0.0,0.0
149,Br-74,3.7014392442,0.0007071540127547666,0.91081662,1.0584212974098202,0.0,0.0025862740576498566,0.0006246650013112201,0.0,0.0,0.0,0.0
150,Br-74m,3.24965696832,0.0007647127930718958,0.89623779,1.2717480253431703,0.0,0.002316227658882646,0.0006754960230173,0.0,0.0,0.0,0.0
151,Br-75,0.4508727082105003,0.001681164963122537,0.74550301,0.524618271584442,0.0,0.0020890789989149914,0.00154412918757253,0.0,0.0,0.0,0.0
152,Br-76,2.2280219344799996,0.0026976809533658472,0.56257523,0.646110057832546,0.0,0.0012233491570326008,0.00238334770096475,0.0,0.0,0.0,0.0
153,Br-76m,0.03126833777,0.009116184465599501,0.00290404366,0.0034606425564,0.0,0.058188360479114805,0.007375555274959235,0.0,0.0,0.0,0.0
154,Br-77,0.30731235575252397,0.006020201759407651,0.0075729689,0.0011235408626522401,0.0,0.002934993427219209,0.0053208919184380005,0.0,0.0,0.0,0.0
155,Br-77m,0.014610060000000003,0.005066894317649675,0.0,0.0,0.0,0.08342225740519998,0.0042068325241324004,0.0,0.0,0.0,0.0
156,Br-78,0.08828368521973702,0.0004518941147907032,0.94487988,1.0229182069292555,7.86282e-06,0.00012554166282584126,0.0003991600082786021,0.0,0.0,0.0,0.0
157,Br-80,0.053131515943800015,0.00036491003749207235,0.0225768487,0.008128606902489599,0.7161326334,8.350421113239961e-05,0.0003222525475107182,0.0,0.0,0.0,0.0
158,Br-80m,0.0146298678405,0.009535029987004092,0.0,0.0,0.0,0.05386580932511799,0.007873253842521799,0.0,0.0,0.0,0.0
159,Br-82m,0.0028299205377760005,0.005260226403959341,0.0,0.0,0.030890002716051263,0.03503018275199647,0.004449145147696657,0.0,0.0,0.0,0.0
160,Br-82,2.6388871577402764,3.58918195290131e-05,0.0,0.0,0.1432215398052603,0.0021878559914059754,2.6346229651321006e-05,0.0,0.0,0.0,0.0
161,Br-83,0.0068753379139156095,4.2841675036858314e-07,0.0,0.0,0.3257297269803708,2.4518474910069706e-05,2.2949716615961994e-06,0.0,0.0,0.0,0.0
162,Br-84m,2.768408,1.8531223162550003e-05,0.0,0.0,0.896691,0.0015593373754374177,1.35922685520445e-05,0.0,0.0,0.0,0.0
163,Br-84,1.7594602976704004,3.6392625559690153e-06,0.0,0.0,1.23597688446992,0.00043590971836469916,2.6695871244576e-06,0.0,0.0,0.0,0.0
164,Br-85,0.06604481905699999,4.1661132143306343e-07,0.0,0.0,1.038383289912192,3.683196897587638e-05,3.0559482046184e-07,0.0,0.0,0.0,0.0
165,C-10,0.722669776,0.0,1.02166785,0.8087358077239999,0.0,2.5845499241575505e-06,0.0,0.0,0.0,0.0,0.0
166,C-11,0.0,0.0,1.0196187399999999,0.384723727164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,C-14,0.0,0.0,0.0,0.0,0.0494533,0.0,0.0,0.0,0.0,0.0,0.0
168,Ca-41,0.0,0.0005010765604857348,0.0,0.0,0.0,0.0,0.0027325633363774002,0.0,0.0,0.0,0.0
169,Ca-45,3.7429702599999997e-10,1.3539216113510573e-08,0.0,0.0,0.0772015822963,1.617019956223e-07,6.1314361393144e-08,0.0,0.0,0.0,0.0
170,Ca-47,1.0521179359948,7.187418830747443e-08,0.0,0.0,0.3520318824152924,6.87370578380789e-05,3.2411494861238e-07,0.0,0.0,0.0,0.0
171,Ca-49,3.1675171209150004,1.0737838299054428e-08,0.0,0.0,0.8693050320411599,3.7093253227696345e-05,4.8429155422555e-08,0.0,0.0,0.0,0.0
172,Cd-101,1.6870965512,0.009952236801257203,0.78825327,1.02812688006707,0.0,0.03674388149889537,0.0036714328000832398,0.0,0.0,0.0,0.0
173,Cd-102,0.6897414738000001,0.015746753535194714,0.13255033400000002,0.060886194083455594,0.0,0.008960358607237076,0.00574165056848996,0.0,0.0,0.0,0.0
174,Cd-103,1.7208292220729997,0.015131824830553505,0.353184804,0.3400040776059119,0.0,0.018007204298908053,0.005559394744831201,0.0,0.0,0.0,0.0
175,Cd-104,0.22879201910000002,0.02247521757622235,0.0,0.0,0.0,0.022466178818574233,0.008125856942980599,0.0,0.0,0.0,0.0
176,Cd-105,1.0008556757044995,0.012494745470448104,0.28610685599999996,0.21053908980600888,0.0,0.0016140364014687976,0.004521222651502409,0.0,0.0,0.0,0.0
177,Cd-107,0.006853587822780001,0.024775470283445414,0.0020806540300000002,0.00028870468882999996,0.0,0.0765742051187871,0.010107382917178701,0.0,0.0,0.0,0.0
